Weight,Front Claws,Pupillary Distance,Hair Color,Ear Shape,Length
300,4.7,17.3,Light Brown,Pointed,11.6
438,4.6,11.5,,Rounded,6.3
317,6.3,11.6,Dark Brown,Rounded,6.8
388,2.3,14.7,Blond,Rounded,5.1
399,4.3,12.7,Dark Brown,Rounded,9.9
223,6.6,13.2,Light Brown,Rounded,8.4
202,5.9,7,Dark Brown,Broad,8.4
440,4.4,15,Cinnamon,Rounded,5.6
310,3.8,11.6,Black,Broad,8.4
485,4.3,11.1,White,Broad,9.3
308,2.5,7.9,Cinnamon,Pointed,10.2
414,8.2,15.9,Dark Brown,Rounded,5.6
303,5.5,9.3,Blond,Pointed,11.3
262,9.3,17.1,Dark Brown,Broad,9.3
372,9.1,17.5,Dark Brown,Rounded,7.8
255,5.7,14.1,Blond,Pointed,6.3
201,7.2,11.1,Black,Broad,5.8
375,7.7,17.8,Light Brown,Broad,6.1
328,4.5,7.9,Blond,Rounded,5.6
386,5.5,15.1,Dark Brown,Broad,7.7
354,8.3,13.4,Cinnamon,Broad,9.8
358,4.9,16.9,Dark Brown,Rounded,6.5
255,6.7,11.7,Dark Brown,Broad,5.5
303,,14.2,Blond,Rounded,6.1
470,2.2,12.4,Cinnamon,Broad,7.5
214,9.5,13.6,Dark Brown,Broad,9
399,4,12.8,White,Broad,10.8
246,9.2,11.5,,Rounded,8.6
253,7.5,11.8,Blond,Rounded,7.1
315,6.4,7.3,Blond,Rounded,10.7
367,3.7,17.1,Cinnamon,Broad,11.5
246,5.2,11.5,White,Broad,8.5
367,2.8,15.4,Black,Rounded,5.1
343,4.2,16.7,Light Brown,Broad,6.9
422,3.4,12.3,Cinnamon,Pointed,10.3
224,2.2,11.5,White,Pointed,7.4
217,5,16.1,Blond,Rounded,8.6
355,5.5,11.9,Light Brown,Rounded,7.6
381,4.3,12.9,,Rounded,9.2
386,7.2,8.7,Cinnamon,Broad,8
299,9,14.2,Dark Brown,Rounded,9.2
336,4.9,8,Cinnamon,Pointed,5.2
248,5.4,13.5,Blond,Rounded,6.2
369,2.1,7.9,Black,Broad,8.3
445,5.5,13.8,Light Brown,Broad,6.4
388,8.5,17.4,Dark Brown,Rounded,8.4
350,8.2,12.5,Blond,Broad,7.3
398,9,8.4,Black,Rounded,6.5
456,1.1,11.5,Cinnamon,Broad,9.8
301,7.9,14.7,,Broad,7.5
351,5.8,12.6,Dark Brown,Broad,8.5
282,6.4,17.6,Blond,Rounded,5.8
391,6.6,15.4,Light Brown,Broad,6.9
313,9.9,13.4,Blond,Pointed,6.5
384,2.8,7.5,Black,Broad,8.9
398,3.3,9.9,White,Pointed,9.9
350,1.9,14.2,Black,Broad,9.3
457,4.4,7.9,Black,Pointed,11.4
336,2.7,12.1,Black,Pointed,8.3
393,9.7,16.6,Light Brown,Rounded,9.8
366,4.8,13.4,Dark Brown,Rounded,11.2
420,3.9,10.7,Dark Brown,Pointed,10.7
338,3.1,16.1,White,Broad,6.6
405,3.5,7.9,Cinnamon,Broad,5.4
444,7.4,8.6,Cinnamon,Broad,9.9
244,1.6,10.4,Dark Brown,Rounded,6.1
451,9.4,16.5,Dark Brown,Broad,7.7
319,1.7,8.3,Cinnamon,Broad,11.8
468,1.7,11.4,Black,Pointed,9.6
497,1.2,8.6,Cinnamon,Pointed,8.3
467,2.3,8,Cinnamon,Broad,9.5
427,4.8,11.5,Black,Broad,9.7
334,5.5,10.7,White,Broad,9.8
333,6.4,16.7,Blond,Broad,8.4
324,6.2,11.6,Light Brown,Pointed,7.3
370,5.2,9.8,Black,Pointed,8.9
476,3.1,11,Cinnamon,Rounded,8.2
457,1.4,8.4,Black,Rounded,11.7
319,8.9,11.8,Black,Pointed,5.8
424,1.6,10.3,Cinnamon,Pointed,9.7
440,2.7,11.2,White,Pointed,9.6
253,3.1,11.8,White,Broad,10
347,6.3,13.4,Dark Brown,Rounded,6.2
220,9,11.3,Dark Brown,Rounded,8.7
405,1.1,11.7,Dark Brown,Broad,10.9
314,2.6,8.7,Black,Pointed,8.8
269,7.5,9.2,Blond,Rounded,7.8
306,5.2,12.3,Black,Broad,8.2
348,8.6,12.7,Black,Broad,5
226,1.7,9.5,White,Broad,10.6
435,1.7,12.9,White,Rounded,7.2
314,9.3,11.4,Blond,Rounded,11.8
394,3,9.5,Cinnamon,Pointed,8.7
379,1.3,17.3,Black,Broad,11.5
226,7.2,11.9,Dark Brown,Rounded,11.6
303,1.6,7.3,Black,Pointed,9.5
394,1.4,10.2,White,Broad,8
428,4.1,12,White,Pointed,8.5
300,4.9,11.1,,Broad,9.2
321,2.8,10.9,Cinnamon,Broad,6.3
343,2.1,9.2,Blond,Broad,5
245,1.8,15.4,Black,Broad,10.3
452,1.4,9.1,White,Pointed,8.3
288,3.2,9.8,Cinnamon,Pointed,11
301,4,13.9,Dark Brown,Rounded,6
340,6.1,9.5,Blond,Broad,10.3
322,4.5,10.4,Black,Pointed,10.4
477,1.5,17.8,Dark Brown,Pointed,10
250,9,17.6,,Rounded,8.7
352,6.9,14.5,Dark Brown,Rounded,8.5
262,9.1,9.7,White,Broad,9.5
361,7.2,11.5,White,Pointed,11.7
308,2.8,14.3,White,Pointed,8.9
472,9.4,7.1,Dark Brown,Rounded,8.1
271,9.8,11.5,Light Brown,Pointed,11.7
237,9,9,White,Broad,11.7
413,8.8,13,Light Brown,Broad,7.5
379,,12.6,Light Brown,Rounded,5.6
403,5.3,8.5,White,Broad,11.9
424,3.7,14.7,White,Pointed,8.2
367,9.6,14.1,Dark Brown,Rounded,8.6
463,5.5,7.9,Cinnamon,Broad,10.7
354,4.4,17.3,Dark Brown,Rounded,8.3
341,1.5,12.7,Cinnamon,Broad,11.2
245,4.6,14.9,Light Brown,Broad,5.1
472,2.2,7.9,Black,Pointed,11.7
306,,14.5,Dark Brown,Broad,9.1
325,2.8,8.3,Black,Pointed,8.1
497,9,15.2,Light Brown,Rounded,9
279,6.4,16.9,Blond,Broad,10.8
318,5.3,10.7,White,Broad,10
238,9.9,11.2,Blond,Rounded,7.7
479,2.8,14.1,White,Broad,9.3
287,6.6,16.6,Light Brown,Rounded,8.1
209,7.7,8.2,Blond,Rounded,5.3
345,2.2,17.5,Blond,Rounded,5.5
340,7.5,9.2,Light Brown,Broad,5.6
226,9.7,17.1,,Broad,9
450,3.9,11.7,White,Pointed,11.7
489,2.3,8.4,Black,Rounded,10.2
311,9.4,11.9,Dark Brown,Rounded,9
204,4.2,14.5,Blond,Broad,6.7
460,1.3,12.4,White,Rounded,9.2
378,2.4,12.2,White,Pointed,10.6
377,6.8,13.9,Dark Brown,Pointed,6.5
485,2,12.1,Cinnamon,Broad,10.7
432,1.7,15.8,White,Pointed,10.4
343,8.2,12.2,Blond,Broad,5.2
307,6,15.7,Light Brown,Rounded,6.3
371,5.2,8.1,Cinnamon,Pointed,11.7
200,1.6,13.1,Black,Pointed,8.3
220,1.2,11.8,White,Rounded,9.6
427,2.4,11.1,Blond,Broad,5.7
357,2.4,10.9,Black,Pointed,8.1
400,9.7,13.9,Light Brown,Broad,9.8
286,4,9.1,Black,Pointed,12
301,7.5,15.9,Light Brown,Rounded,7.5
460,2.8,8.8,Black,Pointed,9.5
242,9.8,10.1,Light Brown,Rounded,5.6
339,9.2,9.1,White,Broad,10
355,6.9,9.8,Dark Brown,Broad,10.2
358,7.9,15,White,Broad,7.6
340,4,15.7,Cinnamon,Rounded,10.3
474,2.7,13.1,White,Broad,9.1
435,1.4,7.9,Cinnamon,Pointed,10.8
372,6.9,8.7,Dark Brown,Broad,11.8
366,9.9,12.2,Dark Brown,Broad,10
387,6.5,9.6,,Pointed,9.4
464,9.9,15.7,Light Brown,Broad,8.3
332,6.2,17.9,,Pointed,11.5
368,3.1,13.9,Dark Brown,Rounded,7.2
355,9.2,13.9,Blond,Broad,9.5
374,2.9,14.8,White,Pointed,10
500,1.1,12.6,Cinnamon,Broad,10.9
262,3.8,12.3,Dark Brown,Rounded,10.1
340,3.1,12.6,Dark Brown,Broad,9.7
294,1.6,9.6,White,Pointed,6.2
456,7.5,17.3,Blond,Pointed,5.9
250,7.8,13.6,Dark Brown,Pointed,5.1
434,9.6,12.7,White,Broad,10.4
493,8.9,8.3,Black,Pointed,8.7
420,3.8,8.9,Light Brown,Broad,9.4
446,1.4,17.6,Cinnamon,Broad,8.8
232,4.1,11.9,Light Brown,Pointed,9.8
251,7.5,16.3,,Rounded,9.5
380,3.3,12.1,Black,Broad,9.4
419,3.1,9.2,White,Pointed,11
255,9,17.3,Dark Brown,Rounded,10
287,5.6,12.6,Blond,Rounded,7.7
395,4.5,16.7,Black,Pointed,8.6
484,1.7,9.2,Cinnamon,Broad,10.1
432,9.8,7.1,Black,Pointed,6.7
348,1.2,11.7,Blond,Rounded,6.8
330,1.3,9.4,Cinnamon,Pointed,11
394,5.3,7.3,Black,Broad,11.5
340,5.4,11.8,Cinnamon,Broad,11
236,9.3,15.7,Blond,Broad,5.8
325,7.3,7.8,White,Broad,9
494,4.3,11.3,Blond,Broad,11
353,4.3,11.3,Light Brown,Rounded,7.7
295,4,11.3,Black,Pointed,10.5
236,8,12.4,Dark Brown,Pointed,7.7
440,3,7.2,White,Broad,9.5
374,2.3,8.9,Cinnamon,Broad,10.5
292,1.2,10.6,White,Pointed,11.3
358,7.4,13.7,Dark Brown,Broad,12
243,4.3,12.9,Cinnamon,Broad,9.7
346,3.7,17.3,Cinnamon,Pointed,10.5
443,2,11.6,Cinnamon,Pointed,10.3
391,3.3,7.8,Cinnamon,Broad,10
289,7.9,12.2,Light Brown,Broad,10.6
268,4,11.3,Blond,Broad,7.5
413,4.4,9.9,Black,Broad,5
323,4.6,12.2,White,Rounded,11.1
206,9.5,12,Blond,Rounded,10
340,2.1,11.6,White,Broad,6.7
458,5.1,15.7,White,Pointed,9.4
378,1.2,7.2,Cinnamon,Pointed,10.6
239,2,9.6,Light Brown,Pointed,9.7
336,2.4,11.8,Black,Rounded,11.3
347,3.6,10.4,Black,Broad,10.1
338,1,15.3,Black,Pointed,9.6
213,5.5,13.4,Cinnamon,Pointed,11.5
370,4.8,10.9,White,Broad,9.6
261,5.3,7,Light Brown,Broad,6.4
283,9.3,14.9,Blond,Broad,7
305,5.1,16.6,Blond,Rounded,8.9
388,2.6,16.4,Dark Brown,Rounded,8.5
419,6.7,11.3,Cinnamon,Broad,10.2
348,7.9,17.2,Blond,Rounded,7.8
355,8.5,11,Blond,Pointed,9.3
404,2.5,12.2,Dark Brown,Pointed,10.6
346,2.2,12.1,Blond,Rounded,7.2
324,4.7,8.1,Black,Pointed,8.8
278,3.2,11.4,Black,Broad,6.2
216,5.2,13,Blond,Broad,6.6
286,6.2,13.7,Dark Brown,Pointed,6.3
490,5.3,11.8,Dark Brown,Pointed,11
232,7.2,11.2,Dark Brown,Broad,12
309,10,13.7,Dark Brown,Broad,8.9
349,9.5,10,,Rounded,7.8
245,9.6,16.5,Dark Brown,Broad,8.3
271,4.3,12.9,White,Rounded,5.7
479,6.4,7.9,White,Broad,9
384,1.3,7.4,Black,Broad,8.6
219,9.2,16,Dark Brown,Rounded,8
342,3.8,11.4,Black,Broad,8.6
484,1.9,13,Cinnamon,Rounded,10.8
324,9.8,13.9,Blond,Broad,8.7
491,5,10.1,Blond,Rounded,8
377,4.7,7.7,Black,Pointed,11.2
360,9.3,11.5,,Broad,9.5
246,2.7,12.1,White,Pointed,11.1
388,3.9,8.8,Black,Pointed,10.7
471,2.6,8.9,White,Rounded,11.9
318,2.7,13,Black,Pointed,11.8
352,9.1,12.1,Light Brown,Broad,8.2
420,8.6,9.7,Light Brown,Rounded,5.1
444,9.4,12.6,Dark Brown,Broad,11.9
493,3.7,8.1,Cinnamon,Pointed,11.1
257,6.8,15.1,Blond,Broad,7.1
360,7.6,10.4,Dark Brown,Broad,5.5
384,6.6,17.6,Light Brown,Broad,5.6
338,6.5,7.6,Dark Brown,Broad,6.4
325,1.7,11.9,White,Broad,9.8
280,3.8,13.6,Black,Broad,8.5
225,1,10.5,Dark Brown,Rounded,5.9
395,9.4,10.8,Cinnamon,Rounded,9.8
357,9,11.4,Black,Rounded,8.9
414,9.9,10.3,Blond,Broad,10
307,,11,,Broad,6.6
488,7,16.9,Dark Brown,Rounded,8.2
435,5.5,12.9,Black,Broad,8.4
346,6.1,17.9,Blond,Broad,8.9
412,2.2,9.7,White,Broad,10.6
296,7.4,15.3,Dark Brown,Broad,10.4
202,5.3,13.7,White,Broad,7.8
223,3.2,8.6,Blond,Broad,6.9
404,5.4,10.1,Black,Pointed,8.8
446,9.5,7.2,Blond,Broad,6.9
425,7.4,10.4,Black,Rounded,9
463,7.9,13.1,Light Brown,Broad,7.5
297,,17.1,Light Brown,Rounded,9.9
321,8.6,9.6,White,Broad,9.6
285,7.4,11.5,Blond,Broad,8.6
316,6.1,16.5,Blond,Rounded,9.2
219,4.2,11.1,,Rounded,6
445,3.7,9.4,Black,Pointed,12
358,5.6,15.8,Dark Brown,Broad,7.6
212,5.4,11.7,Cinnamon,Rounded,8.9
353,5.6,13.2,Blond,Pointed,5.8
390,4.5,16.7,Black,Pointed,10.6
439,3.4,14.6,Dark Brown,Pointed,8
335,3.9,11,Black,Pointed,9.6
318,5.9,7.8,Blond,Rounded,6.6
242,7.7,12.8,Light Brown,Broad,6.4
328,4.9,8.3,Black,Pointed,6.2
311,1.9,12.6,Black,Pointed,6.7
375,7,9.1,White,Pointed,9.1
268,8.6,8.5,Dark Brown,Broad,10.4
345,3.4,8.4,Black,Pointed,9.2
461,2.3,11.6,Cinnamon,Broad,10
201,4.3,14.3,,Broad,6.5
318,5.3,7.8,Dark Brown,Broad,5.5
365,1.2,14.8,Blond,Rounded,5.2
395,9.2,12.6,Cinnamon,Broad,9.9
442,6.1,8.5,Black,Pointed,8.7
211,4.6,12.2,Cinnamon,Pointed,10.2
226,7.4,11.9,Dark Brown,Rounded,7.2
238,4,9.5,Blond,Pointed,7.2
218,4.5,7.9,Light Brown,Rounded,7.4
472,5.3,8.8,White,Broad,9.6
355,1.8,11.1,Cinnamon,Rounded,10.8
371,5.2,10.7,White,Broad,8.2
415,9.2,7.5,Blond,Pointed,11
469,5.1,9.7,Blond,Broad,9.6
356,2.2,8.4,Cinnamon,Broad,11.6
316,4.3,11.3,White,Pointed,9.4
303,3.2,13.5,Light Brown,Rounded,5.7
451,4.8,10,White,Pointed,8.5
349,1.5,9,Black,Pointed,9.7
381,7.5,9.4,Black,Broad,9
399,3.3,12.7,Dark Brown,Broad,10.8
300,4.3,13.7,Blond,Broad,9.6
325,7.3,15.9,Dark Brown,Pointed,6.5
324,2.1,12.8,,Broad,8.6
391,5.7,8.9,Light Brown,Broad,9.6
311,2.1,17.9,,Rounded,8.1
301,4.7,9.1,Black,Pointed,9.8
457,4.3,9.6,White,Broad,11
303,5.4,17.2,,Broad,10.6
238,3,7.6,Cinnamon,Pointed,9.2
287,,18,Light Brown,Pointed,10.9
338,1.8,8.3,Black,Broad,10.4
340,6.7,12.7,Dark Brown,Pointed,5.9
368,6.4,9.1,Cinnamon,Broad,9.7
312,2,12.4,White,Pointed,10.6
454,1.5,13,Black,Broad,8.6
435,5.1,11.8,Black,Broad,11
437,1.2,11.8,Black,Broad,11.4
469,2.3,12.4,Black,Pointed,10.8
278,6.6,13.8,Light Brown,Pointed,7.2
326,4.7,17.7,Blond,Rounded,8.8
433,5,11.6,Light Brown,Rounded,8.8
498,5,13.9,Blond,Rounded,6
473,6.2,12.2,Blond,Rounded,9.7
327,7.7,15.8,Dark Brown,Broad,8.3
286,3.9,11.9,Light Brown,Rounded,10.1
309,7.9,12.8,Blond,Broad,9.5
393,2,9,Cinnamon,Broad,10
328,6.9,12.9,White,Pointed,10.4
388,1.1,7.4,White,Pointed,7.6
486,7.3,8.1,Black,Pointed,9.2
359,7.2,15.8,Light Brown,Rounded,8
427,2.8,9.9,Black,Pointed,8.2
256,7.3,14.7,Blond,Broad,6.6
422,7,7.8,White,Pointed,9.2
423,8.1,11.4,,Broad,5.7
457,2.3,12.4,Cinnamon,Broad,10.4
483,3.9,12.5,White,Rounded,9.3
435,3.5,17.5,Black,Rounded,10
403,3.3,12.3,Light Brown,Broad,9.4
385,4.7,13.6,Black,Broad,5.3
361,8.4,11.4,,Rounded,6.2
324,2.5,8.2,Light Brown,Rounded,5
237,8.1,14.4,Blond,Rounded,6.8
245,5.1,7.3,Cinnamon,Pointed,9.2
450,4,10.2,Black,Broad,9
279,5.3,17.9,,Broad,8.2
349,3.7,17.6,Blond,Broad,9.6
331,5.4,11.2,Cinnamon,Pointed,11.9
380,3,10.3,Cinnamon,Pointed,11.3
232,4.8,11.7,Dark Brown,Rounded,5.7
260,1,10.2,White,Pointed,8
475,4.3,9.6,Black,Pointed,11
245,5.6,14.9,,Broad,9.5
383,9.4,9.2,Black,Pointed,10.6
292,2,12.8,White,Pointed,10.5
392,4.4,7.3,Black,Broad,9.4
358,5.3,10.1,White,Pointed,5.4
334,5.1,9.6,Dark Brown,Broad,7.7
309,2.6,11.1,Dark Brown,Pointed,10
386,5.2,10.8,Cinnamon,Broad,9.7
322,5.9,16.9,Blond,Broad,9.9
378,5.4,17.6,Blond,Rounded,6.3
396,3.9,11.3,Black,Pointed,8.9
271,3.3,12.8,Cinnamon,Broad,8.7
223,8.1,17.9,Blond,Pointed,8.8
381,4.6,11.5,Black,Broad,9.2
377,7.3,14.9,Light Brown,Broad,8
444,1.5,10.8,White,Broad,9.1
220,7.1,14.6,Blond,Rounded,12
343,5.6,16,Dark Brown,Broad,8.6
498,2.3,16.5,Black,Broad,11.2
481,3.1,8.5,Black,Pointed,8.7
325,3.5,10.5,White,Pointed,8.1
215,3.1,11.2,Cinnamon,Pointed,8.5
314,2.5,10,Black,Broad,10.9
272,9.5,10.8,Black,Pointed,11
383,3.7,10,Cinnamon,Pointed,12
350,2.4,8.2,Black,Broad,5.4
366,6.5,12.1,Light Brown,Rounded,9.5
386,8.1,9.8,Light Brown,Rounded,7.6
245,4.8,17.1,Dark Brown,Rounded,8.8
326,2.5,7.4,Cinnamon,Rounded,9.5
300,5.1,13.6,Light Brown,Broad,8.9
418,7.5,17.6,White,Rounded,11.2
335,9.6,13,White,Pointed,7.8
427,1.1,9.7,White,Pointed,10
256,4.3,9.6,Dark Brown,Pointed,6.3
346,4.7,8.7,White,Pointed,8.9
318,2.1,11.9,White,Broad,8.5
461,7.1,17.6,Light Brown,Rounded,11.1
462,4.4,11.3,White,Broad,10
346,3.5,12.5,Black,Broad,11.5
208,7.5,15.4,Blond,Rounded,9.9
354,7.9,14.6,White,Rounded,9.8
462,4.7,11.7,Cinnamon,Broad,11.5
322,2.3,14.7,Light Brown,Broad,8.2
300,5.4,17,Dark Brown,Broad,8.2
230,2.8,16.6,White,Rounded,7.9
389,5.5,11.5,Light Brown,Pointed,10.6
496,3,8.6,White,Rounded,12
262,5.8,16.5,Blond,Rounded,8.6
300,5.5,15.5,Blond,Broad,7.5
273,4.6,15.3,Dark Brown,Rounded,6.2
290,1.2,13.6,Cinnamon,Broad,9.7
495,4.5,11.2,Black,Pointed,11.5
374,5.5,10.6,Black,Pointed,9.5
329,7,15.3,Black,Pointed,9.3
214,8.1,15.2,Light Brown,Rounded,5.2
354,2.9,14.8,White,Pointed,10.7
471,4.2,10.3,Cinnamon,Rounded,7.9
397,6.2,8.1,White,Broad,10.4
472,6.6,15.5,Dark Brown,Pointed,9.4
254,8.1,14.8,Blond,Rounded,6.2
480,2.5,11.2,Cinnamon,Broad,12
320,1.2,7.2,Black,Rounded,8.5
359,6.1,11,Cinnamon,Broad,6.1
392,5.4,12.1,White,Pointed,8.2
346,8.6,12.8,Dark Brown,Pointed,9
496,1.3,11,Black,Broad,9.2
293,8.3,13.2,Light Brown,Rounded,5.4
499,,14.9,Blond,Broad,6.2
482,4.3,9.9,Cinnamon,Pointed,11.7
293,4.2,16.6,Light Brown,Pointed,5.3
400,5.4,15,Dark Brown,Broad,9.7
302,1.3,12.5,White,Pointed,9.2
240,5.3,13.5,Light Brown,Rounded,7.6
305,5.6,12.1,Light Brown,Rounded,7.3
366,2.1,11.9,Black,Pointed,10.6
298,10,12.4,Dark Brown,Broad,7.3
418,6.7,8.2,Cinnamon,Pointed,11.8
319,2.6,11.6,Cinnamon,Broad,11.3
341,7.3,10.9,Black,Rounded,7.2
224,9.2,8.9,Cinnamon,Pointed,9.8
282,4.7,16.1,Light Brown,Pointed,10
390,5.9,8.2,Blond,Rounded,8.3
394,4.7,10.3,Dark Brown,Broad,9.1
473,2.1,11.2,Black,Pointed,9.6
319,2.7,12.7,Black,Pointed,8.6
462,9.6,12.2,Cinnamon,Pointed,9.1
335,4.6,8.4,Cinnamon,Pointed,8.6
375,2.4,12.3,Black,Pointed,9.4
393,6.8,13.4,Light Brown,Rounded,5
200,5.6,14,Light Brown,Rounded,11.3
246,2.6,7.6,Black,Broad,9.8
412,4.6,7.9,Dark Brown,Broad,9.3
255,4.7,12.3,Black,Broad,11.9
302,3.5,9.1,White,Broad,9.3
384,7.5,13.2,Blond,Rounded,5.9
251,6.4,8.6,,Rounded,7.8
253,5.6,16,,Rounded,5.5
207,8.5,13.2,Dark Brown,Pointed,6.3
442,5.2,11.4,Cinnamon,Pointed,10.3
477,7.2,17.6,Dark Brown,Rounded,11.3
374,8.3,13.2,,Broad,8.2
354,2.3,8.1,Black,Broad,11.9
319,8.9,11.7,White,Broad,6.2
351,7.7,12.4,Dark Brown,Broad,9.2
435,4,12.5,Black,Pointed,8.5
280,3.2,17.6,Blond,Broad,5.5
265,5.4,16.2,Dark Brown,Rounded,5.7
488,8.8,8.4,White,Pointed,9.2
480,8.3,11.4,White,Pointed,8.5
249,5,17.3,Dark Brown,Broad,6.3
351,2.7,12.3,White,Pointed,11
401,3.9,9.5,Black,Pointed,9.5
291,7.8,14.7,Light Brown,Rounded,7.7
327,6.9,14.8,Black,Broad,7.9
276,3.1,12.5,Black,Broad,11.4
332,5.5,11.7,Blond,Rounded,8.8
306,4.5,12.7,Dark Brown,Broad,10
377,3.3,12.9,Black,Pointed,9.8
217,4.7,13.1,Blond,Rounded,9.7
378,1.6,9,Cinnamon,Pointed,10
472,4.4,17.1,Light Brown,Broad,9.7
332,7.8,11.5,Light Brown,Rounded,9
363,9.4,15.4,Light Brown,Broad,8.3
432,4.7,13.8,Black,Broad,11.6
338,2.7,12,Cinnamon,Broad,8
486,2.1,8.6,Black,Broad,10
338,6.6,13.6,Blond,Broad,8.3
340,4.2,13.1,Cinnamon,Pointed,11.5
400,7.3,11.5,Blond,Broad,6.9
353,8.4,12.3,,Rounded,9.1
321,7.3,14.8,,Broad,8.6
376,1.8,17.9,Blond,Broad,8.8
219,4.4,17.1,Blond,Broad,7.5
228,9.1,9.9,,Rounded,7.4
370,7.2,13.7,Light Brown,Broad,5.8
393,1.9,16.6,Light Brown,Broad,8.9
352,7.9,7.5,Light Brown,Rounded,8.2
236,5.5,14.1,Blond,Rounded,8.1
264,2.7,11.1,Blond,Broad,7.4
229,9.5,12.9,Dark Brown,Broad,6.6
366,1.6,11.3,Black,Pointed,8.5
411,5.3,12,Black,Broad,8.7
382,4.1,16.6,Light Brown,Broad,5.4
322,4.6,18,Light Brown,Broad,8.2
351,8,13.8,Light Brown,Rounded,7.4
407,1.8,7.7,White,Pointed,9.9
290,2.5,12.2,Black,Broad,10.7
301,7,7.8,Black,Pointed,8.4
461,4.2,13.5,Dark Brown,Broad,7.6
358,,16.3,Light Brown,Rounded,8.8
395,4.6,9.5,Cinnamon,Broad,8.2
350,4.7,12.9,Cinnamon,Pointed,8.9
207,5.9,17.2,Dark Brown,Rounded,9.9
314,4.5,11.9,Blond,Broad,9.9
387,3.8,7.2,White,Rounded,8.3
471,5.3,12.7,Cinnamon,Pointed,6.2
467,4.2,8.1,Blond,Pointed,11.1
345,8.3,12.6,Dark Brown,Rounded,7.3
312,5.5,16.3,Dark Brown,Broad,9.7
392,9.9,11.5,,Rounded,8.4
301,7.9,11.7,Dark Brown,Broad,7.3
395,5.1,15.6,Light Brown,Rounded,10.2
407,8.7,8.6,Cinnamon,Broad,6.1
319,8.1,13.7,Dark Brown,Broad,9.9
246,6.9,12.7,Cinnamon,Rounded,6.4
355,4.1,11,Light Brown,Rounded,11.6
289,6.8,13.5,Blond,Broad,8.6
241,4,13.4,Dark Brown,Rounded,9.4
359,6.6,11.1,Blond,Broad,5
368,5,11.5,White,Rounded,8.7
373,5.4,11.3,Cinnamon,Broad,10.9
282,2.2,11.2,Cinnamon,Rounded,7.8
367,3.7,9.3,White,Broad,9.6
346,3.2,17.2,Light Brown,Rounded,7
323,9.5,12.7,Light Brown,Rounded,9.3
417,4.8,17.5,Black,Pointed,8.3
397,4.4,10.7,Black,Pointed,10.3
233,4.3,14.2,,Broad,10
338,5.6,9.4,Dark Brown,Broad,5.6
261,5.6,9.1,Cinnamon,Broad,9.9
327,3.8,8.9,Cinnamon,Broad,10.9
271,5.1,13.4,Dark Brown,Rounded,6.6
310,9.3,13.5,Blond,Rounded,6
299,5.4,12.5,Light Brown,Broad,6.9
280,3.5,8.9,Black,Broad,8.7
214,10,14.4,Dark Brown,Broad,8
472,6.5,16.6,Light Brown,Rounded,7.8
400,2,9.1,Black,Rounded,9.6
394,7.7,8.9,Cinnamon,Broad,8.1
313,1,9,Light Brown,Broad,10.4
454,7.8,13.2,Dark Brown,Rounded,6
357,3.6,9.3,Black,Pointed,8.6
424,2.5,12.6,Black,Broad,6.2
213,5.3,15,Dark Brown,Broad,7.6
300,7.5,7.2,Cinnamon,Broad,5.7
385,7.3,13.7,Light Brown,Broad,6
213,9.3,13.7,White,Rounded,6.1
313,6.1,11.1,Light Brown,Pointed,8.2
228,5,13.8,,Rounded,8.5
358,8.8,11.1,Light Brown,Rounded,6.2
452,3.8,10.4,Black,Pointed,10.4
210,9.2,11.5,Dark Brown,Broad,7.5
247,9.6,11,Dark Brown,Broad,7.3
471,3.1,11.6,Cinnamon,Pointed,10.5
384,1,10.3,Blond,Broad,6.6
337,1,16,Dark Brown,Broad,8.6
257,1.5,9.9,White,Pointed,8
310,3.5,8.3,Cinnamon,Pointed,10.4
277,6.9,11.4,White,Pointed,10.8
358,9.8,11,Light Brown,Broad,11
392,7.4,12.4,Blond,Broad,9.7
376,2.1,11.1,Black,Pointed,11
378,7,14,Blond,Rounded,9.4
296,9.5,15.1,Blond,Rounded,10.7
333,2.3,12.2,Light Brown,Broad,8.6
250,3.5,17.8,White,Broad,8.2
398,1.3,11.6,White,Pointed,11.2
333,5.5,8,Dark Brown,Rounded,11.7
485,1.2,17,Black,Rounded,11
343,1.2,12.8,Cinnamon,Rounded,9.1
328,6.3,17.2,Light Brown,Rounded,5.9
294,5.6,17.7,Black,Broad,7
361,3.9,7,Black,Pointed,6.5
325,8.1,17.5,,Rounded,9.6
383,8.4,14.2,Blond,Rounded,8.1
310,1.5,8.7,Black,Pointed,11.1
212,4.5,15.9,Blond,Rounded,9.2
487,1.3,11.7,Cinnamon,Broad,11.7
395,5.2,11,Cinnamon,Broad,10.5
290,4.8,12.6,Black,Broad,8.6
337,2.8,11.2,Light Brown,Broad,9.9
483,3.8,9.8,Black,Pointed,11
336,2.1,13.8,Blond,Rounded,9
418,6.1,7.7,White,Pointed,11.5
487,2.5,9.4,White,Pointed,9.5
237,2.1,9.5,White,Pointed,5.7
320,1.1,9.4,White,Broad,7.2
436,5.3,8.8,White,Broad,11.4
368,5.3,12.6,Cinnamon,Pointed,10.3
361,3.3,9.6,Black,Rounded,10.7
390,7.5,13.3,Blond,Rounded,10
433,4,9.5,Cinnamon,Broad,9.4
250,5.3,14.8,Blond,Pointed,6
442,9.6,7.9,Cinnamon,Broad,10.8
304,8.4,11.8,Blond,Broad,5.6
